BlkNumber;BlkRoute;BlkVehType;VehTaskNumber;BlkStartPlace;BlkEndPlace;BlkStartTime;BlkEndTime;BlkStartPrepDur;BlkEndPrepDur;BlkInSrvDur;BlkOutSrvDur;BlkTotalDur;BlkDistance
1008;T1;ART;1008;D90012;D90012;03:24:00;22:54:00;00:20:00;00:05:00;14:39:30;04:50:30;19:30:00;241.419
1010;T1;ART;1010;D90012;D90009;03:39:00;24:42:30;00:20:00;00:05:00;16:07:00;04:56:30;21:03:30;263.016
1004;T1;ART;1004;D90012;D90009;03:24:00;09:09:30;00:20:00;00:05:00;04:05:30;01:40:00;05:45:30;69.443
1004;T1;ART;1004;D90009;D90012;12:34:00;25:49:30;00:20:00;00:05:00;10:07:30;03:08:00;13:15:30;164.614
1001;T1;ART;1001;D90009;D90012;04:52:00;25:35:30;00:20:00;00:05:00;16:11:30;04:32:00;20:43:30;259.542
1016;T1;ART;1016;D90012;D90012;03:51:00;25:22:00;00:20:00;00:05:00;16:42:30;04:48:30;21:31:00;265.151
1019;T1;ART;1019;D90009;D90012;04:37:00;21:40:30;00:20:00;00:05:00;13:09:30;03:54:00;17:03:30;212.078
1017;T1;ART;1017;D90012;D90012;04:07:00;23:21:30;00:20:00;00:05:00;14:40:30;04:34:00;19:14:30;237.702
1018;T1;ART;1018;D90009;D90009;11:52:00;19:50:30;00:20:00;00:05:00;06:04:00;01:54:30;07:58:30;95.000
1013;T1;ART;1013;D90009;D90012;05:50:00;21:08:30;00:20:00;00:05:00;11:38:30;03:40:00;15:18:30;188.346
1007;T1;ART;1007;D90012;D90012;05:23:00;20:35:30;00:20:00;00:05:00;11:11:00;04:01:30;15:12:30;186.521
1009;T1;ART;1009;D90012;D90012;05:31:00;20:46:30;00:20:00;00:05:00;11:11:00;04:04:30;15:15:30;186.521
1006;T1;ART;1006;D90012;D90012;14:45:00;26:04:30;00:20:00;00:05:00;08:09:00;03:10:30;11:19:30;139.057
1021;T1;ART;1021;D90012;D90012;06:21:00;19:55:30;00:20:00;00:05:00;10:07:30;03:27:00;13:34:30;166.506
1020;T1;ART;1020;D90012;D90012;06:10:00;25:38:30;00:20:00;00:05:00;15:11:30;04:17:00;19:28:30;241.419
1015;T1;ART;1015;D90012;D90012;05:35:00;21:17:30;00:20:00;00:05:00;11:38:30;04:04:00;15:42:30;190.238
1014;T1;ART;1014;D90009;D90009;15:19:00;24:58:30;00:20:00;00:05:00;07:35:00;02:04:30;09:39:30;118.732
1018;T1;ART;1018;D90012;D90009;05:59:00;08:26:30;00:20:00;00:05:00;01:31:00;00:56:30;02:27:30;25.696
1011;T1;ART;1011;D90012;D90012;11:26:30;20:58:30;00:20:00;00:05:00;06:20:00;03:12:00;09:32:00;115.325
1022;T1;ART;1022;D90012;D90012;05:45:00;09:58:00;00:20:00;00:05:00;02:16:30;01:56:30;04:13:00;47.846
1022;T1;ART;1022;D90012;D90012;14:17:00;22:11:00;00:20:00;00:05:00;05:38:00;02:16:00;07:54:00;95.310
